Date,MKT,SMB,HML
2014-01-02,-0.005618185749512054,0.002552569419990296,0.0012830613670721611
2014-01-03,0.0011396188287934315,0.003775631762297124,-6.191998429539991e-4
2014-01-06,-0.0012105720792710904,0.009918527582083937,-0.0014884443299173484
2014-01-07,5.101172741565673e-4,-0.008479886120408522,0.012210995776706762
2014-01-08,0.0056406410647434355,-0.0016031734942030204,0.013211432302212141
2014-01-09,0.007937203951980946,-0.013874007034637065,-0.009369885763627137
2014-01-10,0.005855802590570922,0.0012850000866612647,-0.015385296123445873
2014-01-13,0.005921507034919054,-0.004172708659906051,-0.0021336291161713847
2014-01-14,-7.717732697745877e-4,0.004443548598393991,-0.0014830209891165363
2014-01-15,0.01093465604326902,1.4828421449798387e-4,0.0069089145545183795
2014-01-16,0.0038211001590188506,-6.093736141031837e-4,0.004733857742115221
2014-01-17,-0.0021363688098293867,0.0039607042358106885,0.012422322224874506
2014-01-20,-0.0015256364123560735,6.450978435672248e-4,6.803105839241642e-5
2014-01-21,0.00626856809053563,0.005342247387335567,-0.005380240626521485
2014-01-22,-0.004425921246042673,6.893192147953306e-4,-0.0032451742430963403
2014-01-23,-0.008182103201658759,-0.002491552311727459,0.0059209691749435266
2014-01-24,-0.015072611037443688,0.007954065390432736,-0.005941336012014213
2014-01-27,-0.007022149936861217,-0.015737796261670472,-0.003410170576456208
2014-01-28,-0.0023617286490225254,0.007699700496694672,0.005222557044835119
2014-01-29,-0.012312844384467132,0.008531426028951697,-0.00367647455858126
2014-01-30,0.003803970428621396,0.006662878917273886,0.001732170367863409
2014-01-31,-0.008534221390974515,0.01733686757811931,0.002562017605201938
2014-02-03,-4.4300557502296946e-4,0.005229023502028564,-0.006736739720828027
2014-02-04,-9.237735069252844e-4,0.002352526602292339,-0.010678288145632731
2014-02-05,-0.0034838501413201875,-0.00272689927016812,0.0037618319577826503
2014-02-06,0.009813803392610605,4.342008676347254e-4,-0.008899407694761349
2014-02-07,0.020804454923558275,-0.003972968838548695,-0.0037619476368774074
2014-02-10,-0.004545794928479808,-0.002616826898781485,-0.001365857035342102
2014-02-11,0.006161661571815788,0.013500663362590417,0.005505757043109365
2014-02-12,-0.00753356005445671,-0.0027274830530068673,-9.683278674158134e-4
2014-02-13,-0.007650004380466488,-0.008327492220479288,-0.008004930642795394
2014-02-14,0.006201307264484436,-0.005140908215148976,-0.016270126683107726
2014-02-17,0.0026043477920828398,-0.0036002519736270094,-7.695484726394724e-4
2014-02-18,7.580121916312421e-4,0.006068674794575471,-0.0020300907602963034
2014-02-19,-2.327423819135604e-4,0.001183257675556306,-0.003433941860163878
2014-02-20,0.005757625930814755,-0.01415457918686278,-0.002202211232882783
2014-02-21,0.003358227755607534,0.0022573859264969163,-8.613273056671863e-4
2014-02-24,0.003530203869689364,-0.014845228008940397,-0.0035429021052545
2014-02-25,-0.007522995236686439,0.004262149840192259,-0.0017980539440869085
2014-02-26,6.266317931936495e-4,1.7995573178370208e-4,-0.004692258450003688
2014-02-27,-0.0013235092261750792,-0.0023448068609134604,0.006743904138863752
2014-02-28,0.005862080596238694,-0.0028414617550397824,-0.0038273797415467317
2014-03-03,-0.003450415170799795,-0.009109861942876956,0.0020756309978164737
2014-03-04,0.009845069543447852,-4.965182250653635e-4,-0.004532095463807215
2014-03-05,-0.003512016996599921,0.0023410124550494135,9.209188062314676e-4
2014-03-06,0.002602712018321929,0.011605449888718998,0.010643585569339316
2014-03-07,-0.003211039386345364,0.007072025421427494,-0.0053945679701421865
2014-03-10,-0.006426126654807954,0.005513331332656062,-0.004755022677430636
2014-03-11,0.005290238321674184,-0.0016172726866443997,-0.017282791038025564
2014-03-12,-0.013247647739766404,0.003886682237026746,-4.27398059528487e-4
2014-03-13,-0.0030837335594930916,0.002645435024072356,-0.0035214040566401376
2014-03-14,-0.006679497001730723,0.005026675879789093,0.0010590166881813655
2014-03-17,0.00814305292935722,0.002231138913609149,-0.0029537955577705784
2014-03-18,0.004389119361822294,-0.008508590921824176,-0.004438993823171068
2014-03-19,-0.001804052997159826,0.005074920833682266,-0.015368968701593877
2014-03-20,0.00315758044768276,-0.009747140694422963,-0.011606347036056862
2014-03-21,0.011233467344647455,-0.010520075366386699,0.002187315398962338
2014-03-24,-0.002052061209203651,0.0011731151480312263,-0.005562166802785522
2014-03-25,0.008705045535398696,6.120456172483031e-5,-0.0017854978522505779
2014-03-26,0.010921794914933879,-0.0025040582993010613,-3.512611164244953e-5
2014-03-27,-0.0026799400181804376,0.030015423146748314,-0.04001875096393112
2014-03-28,5.302586612580165e-4,-0.0014935443569045214,1.967095594523809e-4
2014-03-31,0.0017711603863719524,0.0012182507256618886,-0.008903020049344013
2014-04-01,-0.0032045962806566755,0.005039804661566579,-0.004852426985535714
2014-04-02,7.479090608231664e-4,0.0010727560921946935,-0.006897183975269006
2014-04-03,-0.0027917035446069277,-0.005245062937705103,-1.5531236320508353e-5
2014-04-04,0.006666219901021885,8.033562945033244e-4,-0.007657151009064128
2014-04-07,-0.013430361829631986,0.007330327977938357,0.008839231002393767
2014-04-08,-0.009480350490699467,-0.0011688942283577704,0.010769497261662844
2014-04-09,0.011341304861792108,-0.01969541229608146,-0.0032488185032404993
2014-04-10,-9.656035684654035e-5,1.6034216194608318e-4,-0.001016779502863857
2014-04-11,-0.02062143446781657,0.012590139748000731,-0.003824330159292195
2014-04-14,0.0068323899605302356,-0.007932041573285652,-0.006804468820145992
2014-04-15,-3.891574699740551e-5,0.004134269551291345,-0.002977374953431605
2014-04-16,0.008542599989965744,0.0036355840026355748,0.002929537692972848
2014-04-22,0.02015880764840026,-0.004949750366026408,-0.011397516554204803
2014-04-23,-0.0043170274611294395,-0.0031613199705792776,0.0064996862005161325
2014-04-24,0.007347224687196573,-0.006402737420321595,-0.004818014930814289
2014-04-25,0.00498013399680149,-0.005119071436583565,0.009974223392130811
2014-04-28,0.0016622835674718684,-0.004448707480373681,-0.003421423762965354
2014-04-29,0.01644787347520409,0.002830354442545169,-0.013080777033829635
2014-04-30,0.006409942929130399,-0.0068485404165562905,-0.002329379075539568
2014-05-02,0.009425134660515377,0.00177007998314546,0.016191253744720153
2014-05-05,-0.0015019741513763317,-0.004133945556725896,0.011061491248025742
2014-05-06,5.419427377239608e-5,7.46914783318375e-4,-0.005411519020007837
2014-05-07,0.0025771740700980656,0.014422251671778175,0.008987194609899532
2014-05-08,0.009232574000634135,-0.0028109098513639957,-0.01464054499192477
2014-05-09,0.0014931385544714475,0.0020635193305590135,-0.003353005835534149
2014-05-12,0.01048096466989298,-0.007111710188525546,0.014202098319623992
2014-05-13,-8.176593365004118e-4,0.0019465854920371693,-0.006528414997441423
2014-05-14,0.003213970701198195,0.002529085169993924,0.0023742793514058076
2014-05-15,-0.0010254771600254513,0.001547281113248658,-0.0015347243655854399
2014-05-16,-0.002371213454749226,0.0014703549559950723,0.0036242457256419423
2014-05-19,0.001352485576585147,-0.003324497934408958,0.003357632194936467
2014-05-20,-0.005851537450926273,0.0021319838677580556,6.102564443312738e-4
2014-05-21,0.005703854992953881,-0.002394249121508785,0.0012796037382411633
2014-05-22,0.005052491732898705,-0.005577922605669964,0.005940797400062089
2014-05-23,0.004334859339672073,-0.004353747475175206,-0.0018742966767582
2014-05-26,-0.0032291153735995726,0.003516954746032069,0.00991813800773758
2014-05-27,0.004382632366848001,0.005513318151657912,0.0022303999446755835
2014-05-28,0.0013703538691401688,0.004573958395599919,0.0032924930320585846
