Date,firm,ISIN,ticker_region,l2_name,l1_name,Return,RF,MKT,SMB,HML,mcap,size,bm,exret,exmkt
2021-01-04,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,0.0309994678020222,0,-0.00808924385887928,0.00334713558954932,-0.00325820843423792,424.586154258835,6.0511149398322335,1.8179967130619428,0.0309994678020222,-0.00808924385887928
2021-01-05,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,0.00630172285634067,-4e-7,-0.00149280500264857,0.01353240080882074,0.0104433265232531,424.586154258835,6.0511149398322335,1.8179967130619428,0.00630212285634067,-0.00149240500264857
2021-01-06,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.0154217381669554,-4e-7,0.01451074978180989,-0.01394170594780057,-5.351575046518321e-4,424.586154258835,6.0511149398322335,1.8179967130619428,-0.0154213381669554,0.01451114978180988
2021-01-07,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,0.0234949400643538,-4e-7,0.01578102699730636,0.01166666635837293,0.00113116813548157,424.586154258835,6.0511149398322335,1.8179967130619428,0.0234953400643538,0.01578142699730636
2021-01-08,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,0.076042205399065907,0,0.010059709500479,-0.00861716511770881,8.300441119148457e-4,424.586154258835,6.0511149398322335,1.8179967130619428,0.076042205399065907,0.010059709500479
2021-01-11,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,0.00444303155536385,0,-0.0110507440960016,-0.00621613700134136,-0.00397372922748968,424.586154258835,6.0511149398322335,1.8179967130619428,0.00444303155536385,-0.0110507440960016
2021-01-12,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.00221168917289616,0,0.00744203622655971,0.00971892747294431,0.01044759824357042,424.586154258835,6.0511149398322335,1.8179967130619428,-0.00221168917289616,0.00744203622655971
2021-01-13,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.0164073090880255,0,-0.00871620471057851,0.00298186063378738,-0.00103814456686901,424.586154258835,6.0511149398322335,1.8179967130619428,-0.0164073090880255,-0.00871620471057851
2021-01-14,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.00451097222008934,0,0.01054314608427041,-0.00948895601224056,-0.001120342331276,424.586154258835,6.0511149398322335,1.8179967130619428,-0.00451097222008934,0.01054314608427041
2021-01-15,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,0,0,-0.01109132653369559,0.00220298840683422,-0.00142044704635416,424.586154258835,6.0511149398322335,1.8179967130619428,0,-0.01109132653369559
2021-01-18,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.00588505250654647,0,0.00622153409630378,-0.00689240895615193,-0.00836934792176636,424.586154258835,6.0511149398322335,1.8179967130619428,-0.00588505250654647,0.00622153409630378
2021-01-19,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,0.0432780525652217,0,0.01010462713087413,0.00235343749794739,-0.01285297127539717,424.586154258835,6.0511149398322335,1.8179967130619428,0.0432780525652217,0.01010462713087413
2021-01-20,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,0.0152864489404345,0,-0.00333295716319686,0.00250479812902872,-0.00376009618181318,424.586154258835,6.0511149398322335,1.8179967130619428,0.0152864489404345,-0.00333295716319686
2021-01-21,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.00645321965118928,0,4.7084490816538414e-4,0.00386827513493522,0.00455737861612142,424.586154258835,6.0511149398322335,1.8179967130619428,-0.00645321965118928,4.7084490816538414e-4
2021-01-22,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.0303044824535534,0,-0.00751487874538875,-0.01176742377152621,-0.02714097121040292,424.586154258835,6.0511149398322335,1.8179967130619428,-0.0303044824535534,-0.00751487874538875
2021-01-25,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.0379458600542084,0,-0.0101489611347012,-0.02430029212292914,-0.01792949907190218,424.586154258835,6.0511149398322335,1.8179967130619428,-0.0379458600542084,-0.0101489611347012
2021-01-26,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.0176309976805479,0,-0.0053948021974416,0.01486332533409729,0.00438852043433536,424.586154258835,6.0511149398322335,1.8179967130619428,-0.0176309976805479,-0.0053948021974416
2021-01-27,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.0340124288558615,0,-0.01360321604490949,-0.01178209782914383,-0.00340451469156916,424.586154258835,6.0511149398322335,1.8179967130619428,-0.0340124288558615,-0.01360321604490949
2021-01-28,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.00537976923621419,0,0.00328153554262027,-0.01386843622734883,-0.00602494599396329,424.586154258835,6.0511149398322335,1.8179967130619428,-0.00537976923621419,0.00328153554262027
2021-01-29,Golden Ocean Group Ltd,BMG396372051,GOGL-US,Industrial Services,Industrials,-0.00147362339712054,0,8.772932305462827e-4,0.00109719836749359,0.01192483143118093,424.586154258835,6.0511149398322335,1.8179967130619428,-0.00147362339712054,8.772932305462827e-4
